year,countycode,party,cand,votes,FIPS,,,,,,
2012,2,REP,ROMNEY,318,3,,,,,,
2012,2,REP,ROMNEY,657,3,,,,,,
2012,2,REP,ROMNEY,284,3,,,,,,
2012,2,REP,ROMNEY,109,3,,,,,,
2012,2,REP,ROMNEY,239,3,,,,,,
2012,2,REP,ROMNEY,182,3,,,,,,
2012,2,REP,ROMNEY,27,3,,,,,,
2012,2,REP,ROMNEY,29,3,,,,,,
2012,2,REP,ROMNEY,11,3,,,,,,
2012,2,REP,ROMNEY,163,3,,,,,,
2012,2,REP,ROMNEY,114,3,,,,,,
2012,2,REP,ROMNEY,506,3,,,,,,
2012,2,REP,ROMNEY,173,3,,,,,,
2012,2,REP,ROMNEY,237,3,,,,,,
2012,2,REP,ROMNEY,177,3,,,,,,
2012,2,REP,ROMNEY,237,3,,,,,,
2012,2,REP,ROMNEY,155,3,,,,,,
2012,2,REP,ROMNEY,158,3,,,,,,
2012,2,REP,ROMNEY,214,3,,,,,,
2012,2,REP,ROMNEY,285,3,,,,,,
2012,2,REP,ROMNEY,221,3,,,,,,
2012,2,REP,ROMNEY,173,3,,,,,,
2012,2,REP,ROMNEY,242,3,,,,,,
2012,2,REP,ROMNEY,245,3,,,,,,
2012,2,REP,ROMNEY,339,3,,,,,,
2012,2,REP,ROMNEY,332,3,,,,,,
2012,2,REP,ROMNEY,114,3,,,,,,
2012,2,REP,ROMNEY,357,3,,,,,,
2012,2,REP,ROMNEY,240,3,,,,,,
2012,2,REP,ROMNEY,58,3,,,,,,
2012,2,REP,ROMNEY,182,3,,,,,,
2012,2,REP,ROMNEY,135,3,,,,,,
2012,2,REP,ROMNEY,190,3,,,,,,
2012,2,REP,ROMNEY,201,3,,,,,,
2012,2,REP,ROMNEY,249,3,,,,,,
2012,2,REP,ROMNEY,253,3,,,,,,
2012,2,REP,ROMNEY,228,3,,,,,,
2012,2,REP,ROMNEY,189,3,,,,,,
2012,2,REP,ROMNEY,191,3,,,,,,
2012,2,REP,ROMNEY,200,3,,,,,,
2012,2,REP,ROMNEY,255,3,,,,,,
2012,2,REP,ROMNEY,188,3,,,,,,
2012,2,REP,ROMNEY,174,3,,,,,,
2012,2,REP,ROMNEY,241,3,,,,,,
2012,2,REP,ROMNEY,268,3,,,,,,
2012,2,REP,ROMNEY,203,3,,,,,,
2012,2,REP,ROMNEY,197,3,,,,,,
2012,2,REP,ROMNEY,279,3,,,,,,
2012,2,REP,ROMNEY,255,3,,,,,,
2012,2,REP,ROMNEY,68,3,,,,,,
2012,2,REP,ROMNEY,102,3,,,,,,
2012,2,REP,ROMNEY,91,3,,,,,,
2012,2,REP,ROMNEY,1,3,,,,,,
2012,2,REP,ROMNEY,8,3,,,,,,
2012,2,REP,ROMNEY,26,3,,,,,,
2012,2,REP,ROMNEY,118,3,,,,,,
2012,2,REP,ROMNEY,62,3,,,,,,
2012,2,REP,ROMNEY,63,3,,,,,,
2012,2,REP,ROMNEY,16,3,,,,,,
2012,2,REP,ROMNEY,49,3,,,,,,
2012,2,REP,ROMNEY,109,3,,,,,,
2012,2,REP,ROMNEY,1044,3,,,,,,
2012,2,REP,ROMNEY,596,3,,,,,,
2012,2,REP,ROMNEY,450,3,,,,,,
2012,2,REP,ROMNEY,160,3,,,,,,
2012,2,REP,ROMNEY,90,3,,,,,,
2012,2,REP,ROMNEY,129,3,,,,,,
2012,2,REP,ROMNEY,163,3,,,,,,
2012,2,REP,ROMNEY,166,3,,,,,,
2012,2,REP,ROMNEY,172,3,,,,,,
2012,2,REP,ROMNEY,140,3,,,,,,
2012,2,REP,ROMNEY,154,3,,,,,,
2012,2,REP,ROMNEY,230,3,,,,,,
2012,2,REP,ROMNEY,155,3,,,,,,
2012,2,REP,ROMNEY,171,3,,,,,,
2012,2,REP,ROMNEY,184,3,,,,,,
2012,2,REP,ROMNEY,296,3,,,,,,
2012,2,REP,ROMNEY,177,3,,,,,,
2012,2,REP,ROMNEY,413,3,,,,,,
2012,2,REP,ROMNEY,276,3,,,,,,
2012,2,REP,ROMNEY,197,3,,,,,,
